size,time,flop,bandwidth
900,0.00039989948272705077,4.048767427651583,32.426148470041134
1300,0.0008996725082397461,3.7554776533191996,30.066940750390884
1700,0.0016990423202514649,3.4009158754472866,27.223336022115262
2100,0.0024986505508422852,3.5290649174721613,28.245966598333986
2500,0.0034989833831787108,3.5717517436868857,28.58544584145328
2900,0.0046977043151855465,3.5798549401327677,28.648716685925415
3300,0.0063962221145629885,3.4046191032701274,27.245207698967857
3700,0.00811300277709961,3.3743733056858387,27.002283373840672
4100,0.00980234146118164,3.429374515581067,27.4416884032495
4500,0.011493182182312012,3.523436708618654,28.193758252496064
4900,0.013619375228881837,3.525499458901544,28.209752176094728
5300,0.016190385818481444,3.4696331903268276,27.762303198909102
5700,0.018388795852661132,3.533363495935339,28.271867509191193
6100,0.02008829116821289,3.704341966018012,29.639594279784088
6500,0.02558467388153076,3.3025044755796067,26.42410073821707
6900,0.034579133987426756,2.753484226488154,22.031066488738613
7300,0.0390763521194458,2.7272939826684994,21.821340881398868
7700,0.03749606609344482,3.1622597342479395,25.301363551998193
8100,0.04000599384307861,3.279806033932608,26.241687786032315
8500,0.04660673141479492,3.100228134731035,24.804743111271172
8900,0.051494169235229495,3.076291983202319,24.613101227252987
9300,0.053480219841003415,3.234292987467919,25.87712623684747
9700,0.06376106739044189,2.9511786377059255,23.61186318887887
10100,0.06466164588928222,3.155037227931357,25.24279698656026
10500,0.06551167964935303,3.3656517613371477,26.927778518916686
10900,0.07331185340881348,3.2410734274443382,25.93096629816561
11300,0.07672791481018067,3.328237195442673,26.62825394192658
11700,0.08640809059143066,3.1683178985458382,25.348709652163308
12100,0.09809422492980957,2.9849657327892243,23.881699474931033
12500,0.09339876174926758,3.345734934247675,26.768020829993556
12900,0.10551812648773193,3.154027758810652,25.234178132508585
13300,0.11163985729217529,3.168820783012548,25.35247239337322
13700,0.11245114803314209,3.338038842336856,26.7062600295988
14100,0.13003175258636473,3.0577600631500936,24.463815466050793
14500,0.1338407039642334,3.1416862549704416,25.135223443676757
14900,0.15026428699493408,2.9548278495140297,23.640209334103183
15300,0.1423128366470337,3.289687079747758,26.319216792015723
15700,0.17619795799255372,2.797786680483738,22.383719113059616
16100,0.16073012351989746,3.2253064245037093,25.804054082535217
16500,0.17854609489440917,3.049540233977133,24.39780048158535
16900,0.18954551219940186,3.0135406181450204,24.10975151546965
17300,0.1875532627105713,3.1914278181536666,25.532898392655284
17700,0.19359986782073973,3.2363777261467654,25.8924846200902
18100,0.20672187805175782,3.1694850403591746,25.35728123893864
18300,0.2154153347015381,3.109164447034224,24.87467481098383
18500,0.2052947998046875,3.3341394942843126,26.674557783294432
19300,0.2253577470779419,3.3056804554509016,26.446813909346925
19700,0.24266791343688965,3.1984463417816262,25.588869628678463
20500,0.277465295791626,3.029133779062563,24.234252362319893
20900,0.2689091682434082,3.248677260454152,25.990661626210006
21300,0.28040170669555664,3.235924312633217,25.888609900230083
22100,0.32210512161254884,3.032543832615498,24.26144843918417
22500,0.3190170764923096,3.1737407637625545,25.391054576337915
23000,0.34931025505065916,3.028760205870754,24.231135151679048
