size,time,flop,bandwith
200,0.000000,inf,inf
500,0.000100,4.995000,40.040000
900,0.000300,5.397000,43.224000
1300,0.000900,3.754111,30.056000
1700,0.001700,3.399000,27.208000
2100,0.002300,3.833870,30.685565
2500,0.003300,3.787121,30.309091
2900,0.004300,3.910953,31.298419
3300,0.006200,3.512371,28.107484
3700,0.007400,3.699500,29.604000
4100,0.009200,3.653902,29.238348
4500,0.010500,3.856714,30.860571
4900,0.012300,3.903667,31.235707
5300,0.015100,3.720179,29.767046
5700,0.016900,3.844633,30.762462
6100,0.019500,3.816097,30.533785
6500,0.022000,3.840614,30.729636
6900,0.026500,3.592947,28.747743
7300,0.029400,3.624922,29.003347
7700,0.033200,3.571455,28.575349
8100,0.037000,3.546268,28.373643
8500,0.041800,3.456734,27.657129
8900,0.043700,3.624968,29.003002
9300,0.049200,3.515665,28.128341
9700,0.055800,3.372228,26.980602
10100,0.055300,3.689148,29.516108
10500,0.060400,3.650488,29.206689
10900,0.070300,3.379930,27.041923
11300,0.077200,3.307885,26.465420
11700,0.079800,3.430680,27.447789
12100,0.090800,3.224757,25.800185
12500,0.088700,3.522971,28.186020
12900,0.096600,3.445208,27.563801
13300,0.112900,3.133452,25.069499
13700,0.108000,3.475614,27.806941
14100,0.116100,3.424685,27.399421
14500,0.122400,3.435339,27.484608
14900,0.137200,3.236189,25.891248
15300,0.140600,3.329763,26.639846
15700,0.149100,3.306266,26.451815
16100,0.160100,3.238001,25.905614
16500,0.164500,3.309930,26.481046
16900,0.174000,3.282776,26.263766
17300,0.184900,3.237224,25.899288
17700,0.205100,3.054911,24.440671
18100,0.195000,3.360010,26.881563
18300,0.204600,3.273518,26.189572
18500,0.202800,3.375155,27.002702
19300,0.219200,3.398543,27.189755
19700,0.228600,3.395277,27.163594
20500,0.247600,3.394505,27.157367
20900,0.257700,3.389985,27.121177
21300,0.276000,3.287532,26.301487
22100,0.309000,3.161158,25.290410
22500,0.295100,3.430964,27.448933
23000,0.313600,3.373651,26.990383
