size,time,flop,bandwith
200,2.756e-05,2.8955,23.164
500,0.00012647,3.94955,31.5964
900,0.00045209,3.58137,28.6509
1300,0.00090143,3.74816,29.9852
1700,0.00163611,3.53173,28.2538
2100,0.00318072,2.7723,22.1784
2500,0.00400963,3.11687,24.935
2900,0.00546084,3.07958,24.6366
3300,0.00707103,3.07971,24.6377
3700,0.00990304,2.76443,22.1155
4100,0.0127659,2.63325,21.066
4500,0.0130028,3.11437,24.915
4900,0.0163288,2.94051,23.5241
5300,0.0181516,3.09476,24.758
5700,0.023024,2.82203,22.5762
6100,0.0243111,3.0609,24.4872
6500,0.0289845,2.91513,23.321
6900,0.0324757,2.93183,23.4546
7300,0.0359636,2.96335,23.7068
7700,0.042046,2.82006,22.5605
8100,0.0430042,3.05114,24.4091
8500,0.052552,2.7495,21.996
8900,0.0527659,3.00215,24.0172
9300,0.0591719,2.92319,23.3855
9700,0.0648206,2.90294,23.2235
10100,0.0699459,2.91668,23.3334
10500,0.0745164,2.95894,23.6715
10900,0.0794537,2.99054,23.9243
11300,0.0851642,2.99855,23.9884
11700,0.0898267,3.04774,24.3819
12100,0.095818,3.05587,24.447
12500,0.123012,2.54029,20.3223
12900,0.111409,2.98726,23.898
13300,0.117406,3.0132,24.1056
13700,0.131072,2.86381,22.9105
14100,0.141293,2.81406,22.5125
14500,0.150821,2.78798,22.3038
14900,0.152553,2.91049,23.2839
15300,0.160947,2.90881,23.2705
15700,0.180795,2.72664,21.8132
16100,0.198263,2.61472,20.9178
16500,0.203674,2.6733,21.3864
16900,0.198813,2.87307,22.9845
17300,0.211479,2.83037,22.6429
17700,0.221328,2.83092,22.6474
18100,0.227198,2.88383,23.0707
18300,0.237954,2.81467,22.5174
18500,0.240412,2.84712,22.777
19300,0.257032,2.89832,23.1865
19700,0.274123,2.83143,22.6515
20500,0.294175,2.85708,22.8566
20900,0.308586,2.83097,22.6478
21300,0.319601,2.83903,22.7123
22100,0.352335,2.77235,22.1788
22500,0.360575,2.80795,22.4636
23000,0.382388,2.76676,22.1341
