            size,            time,            flop,        bandwith
             200,        0.000013,        5.990998,       48.168222
             500,        0.000086,        5.793319,       46.439339
             900,        0.000372,        4.354526,       34.874940
            1300,        0.000859,        3.931235,       31.474082
            1700,        0.001541,        3.749392,       30.012783
            2100,        0.003053,        2.888671,       23.120377
            2500,        0.003791,        3.296998,       26.386533
            2900,        0.004267,        3.941015,       31.538995
            3300,        0.005626,        3.870684,       30.974856
            3700,        0.007680,        3.564520,       28.523870
            4100,        0.009156,        3.671574,       29.379754
            4500,        0.010552,        3.837588,       30.707531
            4900,        0.014139,        3.395907,       27.172799
            5300,        0.016136,        3.481429,       27.856686
            5700,        0.017328,        3.749582,       30.001922
            6100,        0.024252,        3.068318,       24.550571
            6500,        0.022676,        3.726158,       29.813850
            6900,        0.025066,        3.798493,       30.392348
            7300,        0.028925,        3.684474,       29.479827
            7700,        0.034326,        3.454274,       27.637779
            8100,        0.040131,        3.269619,       26.160181
            8500,        0.040224,        3.592202,       28.740995
            8900,        0.043995,        3.600628,       28.808260
            9300,        0.049608,        3.486716,       27.896731
            9700,        0.053122,        3.542251,       28.340931
           10100,        0.062264,        3.276525,       26.214798
           10500,        0.064565,        3.415022,       27.322779
           10900,        0.068026,        3.492938,       27.946064
           11300,        0.073035,        3.496547,       27.974855
           11700,        0.075158,        3.642561,       29.142980
           12100,        0.086317,        3.392223,       27.140027
           12500,        0.088683,        3.523648,       28.191442
           12900,        0.101273,        3.286222,       26.291816
           13300,        0.103383,        3.421908,       27.377319
           13700,        0.112378,        3.340222,       26.723727
           14100,        0.118758,        3.348046,       26.786265
           14500,        0.129872,        3.237682,       25.903244
           14900,        0.130460,        3.403372,       27.228805
           15300,        0.139614,        3.353286,       26.828040
           15700,        0.144971,        3.400436,       27.205219
           16100,        0.153458,        3.378138,       27.026781
           16500,        0.163106,        3.338224,       26.707408
           16900,        0.171759,        3.325605,       26.606412
           17300,        0.180068,        3.324096,       26.594309
           17700,        0.192799,        3.249819,       26.000019
           18100,        0.198047,        3.308314,       26.467970
           18300,        0.203741,        3.287323,       26.300022
           18500,        0.204703,        3.343775,       26.751650
           19300,        0.225497,        3.303639,       26.430483
           19700,        0.238660,        3.252156,       26.018571
           20500,        0.250958,        3.349082,       26.793962
           20900,        0.267787,        3.262294,       26.099603
           21300,        0.270665,        3.352326,       26.819866
           22100,        0.291345,        3.352719,       26.822968
           22500,        0.304083,        3.329608,       26.638052
           23000,        0.314163,        3.367605,       26.942009
