size,time,flop,bandwith
200,2.06e-05,51358.1,410865
500,9.63e-05,10986.3,87890.1
900,0.00047417,2231.22,17849.8
1300,0.00107352,985.521,7884.17
1700,0.00176085,600.833,4806.66
2100,0.00274689,385.154,3081.24
2500,0.00424859,249.018,1992.15
2900,0.00595861,177.554,1420.43
3300,0.00727863,145.354,1162.83
3700,0.00891412,118.686,949.484
4100,0.0110656,95.6093,764.874
4500,0.0145512,72.7072,581.658
4900,0.0159184,66.4626,531.701
5300,0.0196498,53.8415,430.732
5700,0.0206811,51.1568,409.254
6100,0.0242059,43.7074,349.659
6500,0.0272161,38.8732,310.986
6900,0.0304201,34.7789,278.231
7300,0.0342153,30.9211,247.369
7700,0.038045,27.8086,222.469
8100,0.0420698,25.1481,201.185
8500,0.0468597,22.5775,180.62
8900,0.0515139,20.5377,164.302
9300,0.0575619,18.3798,147.038
9700,0.0609955,17.3452,138.761
10100,0.0659815,16.0344,128.276
10500,0.0764756,13.8342,110.673
10900,0.0802883,13.1772,105.418
11300,0.0837979,12.6253,101.003
11700,0.0898055,11.7808,94.2461
12100,0.095687,11.0566,88.4532
12500,0.103677,10.2045,81.6363
12900,0.110492,9.57514,76.6011
13300,0.118871,8.90022,71.2017
13700,0.126755,8.34662,66.773
14100,0.133859,7.9037,63.2296
14500,0.140471,7.53165,60.2532
14900,0.148375,7.13044,57.0435
15300,0.159049,6.65191,53.2153
15700,0.164352,6.43724,51.498
16100,0.174059,6.07826,48.6261
16500,0.181824,5.81867,46.5494
16900,0.196072,5.39586,43.1669
17300,0.201623,5.24731,41.9785
17700,0.212618,4.97595,39.8076
18100,0.223892,4.72539,37.8032
18300,0.227528,4.64988,37.199
18500,0.236658,4.47049,35.7639
19300,0.260506,4.06124,32.4899
19700,0.271154,3.90176,31.2141
20500,0.294444,3.59313,28.7451
20900,0.307429,3.44137,27.531
21300,0.320305,3.30303,26.4242
22100,0.346931,3.04954,24.3963
22500,0.360472,2.93498,23.4798
23000,0.378091,2.79821,22.3857
