size,time,flop,bandwith
200,1.314e-05,80515.8,644126
500,0.00011661,9072.78,72582.2
900,0.00039596,2671.93,21375.4
1300,0.00099118,1067.39,8539.13
1700,0.00174552,606.11,4848.88
2100,0.00277244,381.605,3052.84
2500,0.00415957,254.348,2034.78
2900,0.00572815,184.698,1477.58
3300,0.00817104,129.479,1035.83
3700,0.00906733,116.68,933.441
4100,0.0107434,98.477,787.816
4500,0.0131698,80.3334,642.668
4900,0.01532,69.0584,552.467
5300,0.0180354,58.661,469.288
5700,0.020921,50.57,404.56
6100,0.0242058,43.7076,349.661
6500,0.0270312,39.1391,313.113
6900,0.0318763,33.1901,265.521
7300,0.035186,30.0681,240.545
7700,0.0397416,26.6214,212.971
8100,0.0425674,24.8542,198.833
8500,0.0524428,20.1739,161.391
8900,0.0518477,20.4055,163.244
9300,0.0564868,18.7296,149.837
9700,0.060838,17.3901,139.121
10100,0.0682552,15.5003,124.003
10500,0.071773,14.7406,117.925
10900,0.0782285,13.5242,108.194
11300,0.0889457,11.8946,95.1571
11700,0.0922171,11.4727,91.7814
12100,0.0972481,10.8792,87.0332
12500,0.102058,10.3665,82.9318
12900,0.107708,9.82267,78.5813
13300,0.117001,9.04244,72.3395
13700,0.122937,8.60587,68.847
14100,0.131777,8.02851,64.2281
14500,0.141979,7.45164,59.6131
14900,0.149206,7.0907,56.7256
15300,0.15718,6.73099,53.8479
15700,0.166191,6.36602,50.9282
16100,0.17185,6.15641,49.2513
16500,0.180067,5.87545,47.0036
16900,0.190963,5.54023,44.3218
17300,0.209865,5.04123,40.3298
17700,0.21151,5.00201,40.0161
18100,0.22184,4.7691,38.1528
18300,0.235082,4.50045,36.0036
18500,0.233983,4.5216,36.1728
19300,0.25627,4.12837,33.027
19700,0.269577,3.92459,31.3967
20500,0.292452,3.61761,28.9409
20900,0.310802,3.40403,27.2322
21300,0.318808,3.31854,26.5483
22100,0.366924,2.88337,23.0669
22500,0.386828,2.73501,21.8801
23000,0.38133,2.77444,22.1955
