size,time,flop,bandwithd
900,0.0004997968673706055,3.2395161028478747,25.944940527977863
1300,0.0012993335723876954,2.6003330259459063,20.818672413960144
1700,0.0019989490509033205,2.8906689729729727,23.138958933994893
2100,0.0031983375549316405,2.757026063869756,22.066713968691296
2500,0.0038977861404418945,3.206307259993271,25.660720315625287
2900,0.0047972679138183595,3.5055578095938613,28.054134648669063
3300,0.006696105003356934,3.2521443419842977,26.025039916882378
3700,0.008196640014648437,3.3399417262530835,26.72675628165868
4100,0.011493301391601563,2.9248254139201433,23.40431098383617
4500,0.011693239212036133,3.4631550133958613,27.71139751134672
4900,0.013353347778320312,3.595735001971147,28.771751202628195
5300,0.015790534019470216,3.5574920981605094,28.46530709131017
5700,0.019373464584350585,3.353778035782235,26.834931756086156
6100,0.020887064933776855,3.562678635602072,28.50610183325248
6500,0.025001883506774902,3.3794853886549916,27.040042795848017
6900,0.034978628158569336,2.7220364265965062,21.779447625745853
7300,0.04237596988677979,2.5149324082667883,20.122215545230976
7700,0.03818063735961914,3.1055610434991117,24.847715114451496
8100,0.04322695732116699,3.0354183623224698,24.28634502771101
8500,0.04527592658996582,3.1913537917967782,25.53383413816673
8900,0.04832620620727539,3.2779543943623617,26.226581796300646
9300,0.052073335647583006,3.3216750540164113,26.576257940645956
9700,0.05821802616119385,3.232165574954307,25.859990440615913
10100,0.06501564979553223,3.137858356281771,25.105352405662874
10500,0.06566529273986817,3.3577783757618356,26.86478543525856
10900,0.07019593715667724,3.384940918584174,27.08201182294732
11300,0.0796583652496338,3.205798903853026,25.648660923397404
11700,0.09249873161315918,2.959697881533468,23.679606863802615
12100,0.0855147361755371,3.4240636537654723,27.394773167412932
12500,0.09444622993469239,3.3086286262149227,26.47114661674444
12900,0.10474550724029541,3.1772923609650507,25.42030937796326
13300,0.11204044818878174,3.1574909393786372,25.261826829102183
13700,0.11243109703063965,3.338634149391119,26.71102283367015
14100,0.13212075233459472,3.0094129269947416,24.077010944835973
14500,0.12702817916870118,3.3101749765425637,26.483226178753995
14900,0.13807451725006104,3.2156918513492303,25.727261414694027
15300,0.14813971519470215,3.1602916164965245,25.283985426036182
15700,0.15439271926879883,3.1929245260700774,25.545023228287906
16100,0.1593690872192383,3.2528510330667233,26.024424638226417
16500,0.16786279678344726,3.2436222345467964,25.95055058935818
16900,0.18096272945404052,3.1564681949885687,25.253239790244354
17300,0.18908483982086183,3.1655774231666363,25.326083278473664
17700,0.1945425510406494,3.2206954039020523,25.767018953877013
18100,0.2116159200668335,3.096184350369628,24.770843320032245
18300,0.20723350048065187,3.2319180945482873,25.8567576553593
18500,0.20644636154174806,3.315541600676661,26.525766591883485
19300,0.2270763874053955,3.280661228197341,26.246649720385616
19700,0.259331202507019,2.9929306327070018,23.944660495807216
20500,0.2776085615158081,3.027570531005183,24.221745767797945
20900,0.2586240530014038,3.3778725909738108,27.02427372430848
21300,0.26356143951416017,3.4426838071327617,27.542763514197567
22100,0.29050335884094236,3.362432379085918,26.90067623031773
22500,0.29133853912353513,3.475261127641898,27.803324696995592
23000,0.31893162727355956,3.317253321799075,26.539180426718712
