            size,            time,            flop,        bandwith
             200,        0.000013,        6.036305,       48.532499
             500,        0.000097,        5.157460,       41.342280
             900,        0.000395,        4.098054,       32.820877
            1300,        0.000842,        4.013947,       32.136290
            1700,        0.001620,        3.566037,       28.545086
            2100,        0.002504,        3.521441,       28.184948
            2500,        0.003499,        3.571439,       28.582941
            2900,        0.004461,        3.769932,       30.169856
            3300,        0.005649,        3.854706,       30.846996
            3700,        0.007337,        3.731022,       29.856245
            4100,        0.009505,        3.536785,       28.301179
            4500,        0.011644,        3.477943,       27.829728
            4900,        0.012315,        3.898975,       31.198168
            5300,        0.017383,        3.231612,       25.857778
            5700,        0.017304,        3.754870,       30.044227
            6100,        0.019827,        3.753090,       30.029641
            6500,        0.025855,        3.268037,       26.148320
            6900,        0.026599,        3.579531,       28.640401
            7300,        0.030502,        3.493907,       27.955088
            7700,        0.037159,        3.190986,       25.531207
            8100,        0.036194,        3.625193,       29.005124
            8500,        0.040344,        3.581509,       28.655442
            8900,        0.043949,        3.604402,       28.838458
            9300,        0.049607,        3.486853,       27.897822
            9700,        0.054199,        3.471866,       27.777790
           10100,        0.057571,        3.543599,       28.351596
           10500,        0.060577,        3.639829,       29.121407
           10900,        0.067010,        3.545872,       28.369575
           11300,        0.072032,        3.545207,       28.364165
           11700,        0.076820,        3.563755,       28.512481
           12100,        0.081937,        3.573577,       28.590980
           12500,        0.088498,        3.531010,       28.250343
           12900,        0.097922,        3.398699,       27.191697
           13300,        0.103953,        3.403157,       27.227302
           13700,        0.106292,        3.531449,       28.253652
           14100,        0.113542,        3.501854,       28.016819
           14500,        0.119293,        3.524820,       28.200504
           14900,        0.131946,        3.365047,       26.922179
           15300,        0.135783,        3.447888,       27.584906
           15700,        0.155156,        3.177211,       25.419305
           16100,        0.162492,        3.190343,       25.524332
           16500,        0.169442,        3.213388,       25.708665
           16900,        0.175786,        3.249430,       25.996975
           17300,        0.182655,        3.277004,       26.217547
           17700,        0.192908,        3.247977,       25.985282
           18100,        0.203370,        3.221721,       25.775195
           18300,        0.208658,        3.209849,       25.680194
           18500,        0.216478,        3.161893,       25.296512
           19300,        0.220902,        3.372356,       26.980243
           19700,        0.240995,        3.220646,       25.766476
           20500,        0.254396,        3.303828,       26.431911
           20900,        0.267087,        3.270846,       26.168017
           21300,        0.279892,        3.241820,       25.935776
           22100,        0.295129,        3.309736,       26.479086
           22500,        0.297416,        3.404249,       27.235202
           23000,        0.318326,        3.323567,       26.589693
