size,time,flop,bandwith
200,0.000000,inf,inf
500,0.000100,4.995000,40.040000
900,0.000400,4.047750,32.418000
1300,0.000900,3.754111,30.056000
1700,0.001700,3.399000,27.208000
2100,0.002600,3.391500,27.144923
2500,0.004300,2.906395,23.260465
2900,0.004600,3.655891,29.257217
3300,0.006000,3.629450,29.044400
3700,0.007600,3.602145,28.824947
4100,0.009700,3.465557,27.731216
4500,0.011400,3.552237,28.424211
4900,0.013500,3.556674,28.459200
5300,0.015800,3.555361,28.448253
5700,0.022400,2.900638,23.209179
6100,0.022500,3.307284,26.462613
6500,0.027400,3.083704,24.673431
6900,0.028000,3.400468,27.207686
7300,0.031500,3.383260,27.069790
7700,0.038500,3.079800,24.641600
8100,0.038900,3.373057,26.987784
8500,0.048600,2.973076,23.787407
8900,0.050000,3.168222,25.348624
9300,0.051200,3.378334,27.029578
9700,0.055100,3.415069,27.323368
10100,0.063200,3.228005,25.826595
10500,0.068200,3.232984,25.866334
10900,0.073400,3.237181,25.899826
11300,0.086700,2.945429,23.565518
11700,0.081000,3.379856,27.041156
12100,0.087200,3.357889,26.865330
12500,0.098400,3.175686,25.407520
12900,0.100900,3.298386,26.389130
13300,0.108200,3.269563,26.158470
13700,0.116000,3.235916,25.889221
14100,0.133000,2.989518,23.917841
14500,0.136700,3.075973,24.609481
14900,0.144600,3.070575,24.566246
15300,0.166700,2.808427,22.468881
15700,0.151200,3.260346,26.084429
16100,0.174800,2.965697,23.727053
16500,0.203600,2.674280,21.395540
16900,0.197700,2.889242,23.115302
17300,0.197800,3.026101,24.210204
17700,0.204500,3.063874,24.512379
18100,0.211100,3.103751,24.831382
18300,0.215600,3.106501,24.853369
18500,0.221200,3.094401,24.756546
19300,0.239600,3.109185,24.874768
19700,0.248300,3.125897,25.008448
20500,0.265400,3.166841,25.335961
20900,0.284500,3.070647,24.566352
21300,0.290700,3.121289,24.971484
22100,0.320000,3.052493,24.421053
22500,0.332800,3.042300,24.339483
23000,0.340100,3.110782,24.887339
