            size,            time,            flop,        bandwith
             200,        0.000013,        5.968577,       47.987960
             500,        0.000093,        5.350258,       42.887751
             900,        0.000475,        3.411289,       27.320650
            1300,        0.001045,        3.234475,       25.895710
            1700,        0.001969,        2.934905,       23.493057
            2100,        0.002634,        3.347341,       26.791481
            2500,        0.003763,        3.320986,       26.578514
            2900,        0.004955,        3.393815,       27.159884
            3300,        0.006517,        3.341266,       26.738228
            3700,        0.008053,        3.399723,       27.205132
            4100,        0.015760,        2.132979,       17.067995
            4500,        0.012788,        3.166618,       25.338573
            4900,        0.014094,        3.406885,       27.260640
            5300,        0.015856,        3.542732,       28.347208
            5700,        0.020873,        3.112843,       24.907110
            6100,        0.021262,        3.499805,       28.003029
            6500,        0.026437,        3.196067,       25.572471
            6900,        0.028405,        3.352033,       26.820154
            7300,        0.030570,        3.486141,       27.892951
            7700,        0.037681,        3.146772,       25.177448
            8100,        0.038711,        3.389523,       27.119533
            8500,        0.043212,        3.343763,       26.753253
            8900,        0.050929,        3.110416,       24.886125
            9300,        0.055120,        3.138074,       25.107291
            9700,        0.064545,        2.915333,       23.325067
           10100,        0.060930,        3.348261,       26.788743
           10500,        0.068290,        3.228728,       25.832283
           10900,        0.074484,        3.190086,       25.523027
           11300,        0.088606,        2.882055,       23.058479
           11700,        0.097755,        2.800560,       22.406398
           12100,        0.094201,        3.108343,       24.868802
           12500,        0.101735,        3.071570,       24.574524
           12900,        0.107686,        3.090528,       24.726144
           13300,        0.118574,        2.983499,       23.869785
           13700,        0.117979,        3.181646,       25.455024
           14100,        0.127893,        3.108904,       24.872999
           14500,        0.138397,        3.038250,       24.307672
           14900,        0.144103,        3.081155,       24.650896
           15300,        0.151390,        3.092438,       24.741119
           15700,        0.157752,        3.124930,       25.001035
           16100,        0.169262,        3.062729,       24.503355
           16500,        0.190846,        2.853003,       22.825406
           16900,        0.199564,        2.862251,       22.899366
           17300,        0.199852,        2.995024,       23.961580
           17700,        0.212364,        2.950417,       23.604666
           18100,        0.230282,        2.845220,       22.763016
           18300,        0.220857,        3.032558,       24.261791
           18500,        0.231540,        2.956215,       23.651001
           19300,        0.242067,        3.077502,       24.621295
           19700,        0.273163,        2.841379,       22.732186
           20500,        0.271944,        3.090639,       24.726322
           20900,        0.275886,        3.166524,       25.333400
           21300,        0.288920,        3.140517,       25.125317
           22100,        0.313814,        3.112666,       24.902457
           22500,        0.313370,        3.230934,       25.848621
           23000,        0.334364,        3.164148,       25.314281
