size,time,flop,bandwith
200,2.443e-05,3.26648,26.1318
500,0.00010022,4.98404,39.8723
900,0.00040908,3.95791,31.6632
1300,0.00099761,3.38679,27.0944
1700,0.00163786,3.52796,28.2237
2100,0.00260851,3.38044,27.0435
2500,0.00405891,3.07903,24.6322
2900,0.00615781,2.73102,21.8482
3300,0.00828826,2.62742,21.0193
3700,0.00901458,3.03689,24.2951
4100,0.011259,2.98569,23.8856
4500,0.0137487,2.94541,23.5633
4900,0.0154709,3.10358,24.8286
5300,0.018145,3.09587,24.767
5700,0.0208818,3.11153,24.8923
6100,0.0243516,3.05582,24.4465
6500,0.028557,2.95877,23.6701
6900,0.0329804,2.88696,23.0957
7300,0.0367332,2.90126,23.2101
7700,0.039044,3.03689,24.2951
8100,0.0421551,3.11259,24.9008
8500,0.0474643,3.04422,24.3537
8900,0.0523494,3.02603,24.2083
9300,0.0599143,2.88697,23.0958
9700,0.0636279,2.95736,23.6588
10100,0.0695896,2.93161,23.4529
10500,0.0764665,2.88348,23.0678
10900,0.0848955,2.79884,22.3907
11300,0.0840177,3.03946,24.3157
11700,0.0919591,2.97707,23.8165
12100,0.0962486,3.04221,24.3376
12500,0.104171,2.99976,23.9981
12900,0.111349,2.98885,23.9108
13300,0.117958,2.9991,23.9928
13700,0.125519,2.99052,23.9241
14100,0.14582,2.7267,21.8136
14500,0.14621,2.87589,23.0071
14900,0.147606,3.00803,24.0643
15300,0.157634,2.96995,23.7596
15700,0.169769,2.90374,23.2299
16100,0.176238,2.9415,23.532
16500,0.186064,2.92632,23.4106
16900,0.196947,2.90028,23.2023
17300,0.206377,2.90034,23.2027
17700,0.21727,2.88379,23.0703
18100,0.232095,2.823,22.584
18300,0.234302,2.85854,22.8683
18500,0.238621,2.86848,22.9479
19300,0.262387,2.83917,22.7133
19700,0.273694,2.83586,22.6869
20500,0.299288,2.80827,22.4661
20900,0.314653,2.77639,22.2111
21300,0.333921,2.71728,21.7383
22100,0.361235,2.70405,21.6324
22500,0.364012,2.78144,22.2515
23000,0.375904,2.81448,22.5159
