size,time,flop,bandwith
200,2.129e-05,49693.6,397549
500,9.194e-05,11507.3,92058
900,0.00041713,2536.32,20290.6
1300,0.00104253,1014.82,8118.53
1700,0.00177809,595.008,4760.06
2100,0.00287542,367.938,2943.51
2500,0.00462999,228.505,1828.04
2900,0.00625052,169.262,1354.1
3300,0.00805677,131.315,1050.52
3700,0.0102179,103.541,828.329
4100,0.011957,88.482,707.856
4500,0.0136619,77.44,619.52
4900,0.0160829,65.7826,526.261
5300,0.0187605,56.3938,451.15
5700,0.021646,48.8764,391.011
6100,0.0254907,41.5043,332.035
6500,0.0284611,37.1728,297.382
6900,0.0320514,33.0088,264.07
7300,0.0361074,29.3009,234.407
7700,0.0398928,26.5205,212.164
8100,0.0485032,21.8125,174.5
8500,0.0535337,19.7628,158.103
8900,0.0535194,19.7681,158.145
9300,0.0579398,18.2599,146.079
9700,0.0645131,16.3994,131.195
10100,0.0689686,15.34,122.72
10500,0.0787286,13.4383,107.506
10900,0.0903802,11.7058,93.6468
11300,0.0865372,12.2257,97.8056
11700,0.0935023,11.315,90.5198
12100,0.0999059,10.5897,84.7178
12500,0.107882,9.80676,78.4541
12900,0.113066,9.35713,74.8571
13300,0.122252,8.6541,69.2328
13700,0.128658,8.22318,65.7854
14100,0.13806,7.66319,61.3055
14500,0.145942,7.2493,57.9944
14900,0.153957,6.87188,54.975
15300,0.16194,6.53314,52.2651
15700,0.170451,6.20694,49.6555
16100,0.178909,5.9135,47.308
16500,0.196766,5.37683,43.0146
16900,0.20602,5.13532,41.0825
17300,0.21089,5.01672,40.1338
17700,0.22898,4.62038,36.9631
18100,0.258749,4.08881,32.7105
18300,0.246927,4.28457,34.2765
18500,0.246767,4.28735,34.2988
19300,0.265417,3.98609,31.8887
19700,0.339716,3.1143,24.9144
20500,0.312025,3.39068,27.1255
20900,0.323709,3.26829,26.1464
21300,0.339126,3.11972,24.9577
22100,0.369204,2.86556,22.9245
22500,0.378597,2.79446,22.3557
23000,0.391983,2.69904,21.5923
