size,time,flop,bandwith
200,1.616e-05,4.93812,39.505
500,9.535e-05,5.23859,41.9088
900,0.00070763,2.28806,18.3045
1300,0.00110287,3.06355,24.5084
1700,0.00194939,2.96416,23.7133
2100,0.0029023,3.03825,24.306
2500,0.00414461,3.01536,24.1229
2900,0.0055335,3.03914,24.3131
3300,0.0070928,3.07025,24.562
3700,0.00894794,3.05951,24.4761
4100,0.0112201,2.99605,23.9684
4500,0.0133984,3.02241,24.1793
4900,0.0180686,2.65738,21.259
5300,0.0206649,2.71836,21.7469
5700,0.0217683,2.98481,23.8784
6100,0.0269543,2.76074,22.0859
6500,0.0295667,2.85773,22.8618
6900,0.0313931,3.03293,24.2634
7300,0.039042,2.7297,21.8376
7700,0.0411241,2.88328,23.0663
8100,0.043583,3.01062,24.085
8500,0.0566703,2.54969,20.3975
8900,0.0676655,2.34109,18.7287
9300,0.073396,2.35668,18.8534
9700,0.0665526,2.82739,22.6191
10100,0.070294,2.90224,23.2179
10500,0.0842597,2.61679,20.9343
10900,0.0823043,2.88696,23.0957
11300,0.0863516,2.95731,23.6585
11700,0.0926477,2.95494,23.6395
12100,0.0974954,3.0033,24.0264
12500,0.104817,2.98126,23.8501
12900,0.113484,2.93263,23.461
13300,0.124165,2.84916,22.7932
13700,0.127918,2.93443,23.4755
14100,0.135803,2.92781,23.4225
14500,0.159822,2.63096,21.0477
14900,0.176359,2.51762,20.1409
15300,0.19152,2.44447,19.5558
15700,0.180884,2.7253,21.8024
16100,0.193673,2.6767,21.4136
16500,0.21358,2.54932,20.3946
16900,0.211782,2.69713,21.577
17300,0.218122,2.74416,21.9533
17700,0.220218,2.84519,22.7615
18100,0.233733,2.8032,22.4256
18300,0.252008,2.6577,21.2616
18500,0.241595,2.83318,22.6654
19300,0.272714,2.73165,21.8532
19700,0.278799,2.78394,22.2715
20500,0.31593,2.66033,21.2827
20900,0.324729,2.69024,21.5219
21300,0.338449,2.68093,21.4475
22100,0.366887,2.6624,21.2992
22500,0.384183,2.6354,21.0832
23000,0.398176,2.65706,21.2565
