            size,            time,            flop,        bandwith
             200,        0.000014,        5.675670,       45.632956
             500,        0.000090,        5.563599,       44.597902
             900,        0.000374,        4.330418,       34.681859
            1300,        0.000824,        4.100613,       32.830147
            1700,        0.001499,        3.855387,       30.861245
            2100,        0.002392,        3.686675,       29.507448
            2500,        0.003242,        3.854719,       30.850089
            2900,        0.004408,        3.815305,       30.532964
            3300,        0.006470,        3.365598,       26.932947
            3700,        0.010067,        2.719456,       21.761528
            4100,        0.010252,        3.279005,       26.238439
            4500,        0.013216,        3.064118,       24.518388
            4900,        0.012242,        3.922277,       31.384618
            5300,        0.014775,        3.802080,       30.422377
            5700,        0.017692,        3.672437,       29.384652
            6100,        0.020466,        3.636014,       29.092881
            6500,        0.023197,        3.642390,       29.143602
            6900,        0.025379,        3.751612,       30.017246
            7300,        0.027772,        3.837374,       30.703197
            7700,        0.031857,        3.721969,       29.779621
            8100,        0.041269,        3.179454,       25.438772
            8500,        0.039479,        3.659970,       29.283202
            8900,        0.048510,        3.265540,       26.127253
            9300,        0.055974,        3.090198,       24.724245
            9700,        0.053363,        3.526261,       28.213000
           10100,        0.058306,        3.498933,       27.994235
           10500,        0.061459,        3.587599,       28.703522
           10900,        0.068348,        3.476447,       27.814131
           11300,        0.072109,        3.541436,       28.333991
           11700,        0.078004,        3.509651,       28.079609
           12100,        0.085725,        3.415668,       27.327599
           12500,        0.088925,        3.514054,       28.114684
           12900,        0.095969,        3.467872,       27.745127
           13300,        0.102317,        3.457544,       27.662434
           13700,        0.114231,        3.286032,       26.290178
           14100,        0.117504,        3.383775,       27.072119
           14500,        0.120462,        3.490615,       27.926847
           14900,        0.129783,        3.421133,       27.370905
           15300,        0.149530,        3.130918,       25.048985
           15700,        0.160865,        3.064453,       24.517182
           16100,        0.154817,        3.348490,       26.789581
           16500,        0.163331,        3.333624,       26.670608
           16900,        0.177278,        3.222070,       25.778083
           17300,        0.184556,        3.243265,       25.947618
           17700,        0.187442,        3.342703,       26.743133
           18100,        0.195339,        3.354176,       26.834887
           18300,        0.198728,        3.370248,       26.963455
           18500,        0.209931,        3.260504,       26.085443
           19300,        0.219468,        3.394386,       27.156496
           19700,        0.228658,        3.394413,       27.156681
           20500,        0.248319,        3.384678,       27.078742
           20900,        0.264634,        3.301162,       26.410558
           21300,        0.275525,        3.293203,       26.346859
           22100,        0.301873,        3.235792,       25.887504
           22500,        0.297952,        3.398123,       27.186196
           23000,        0.312361,        3.387029,       27.097406
