size,time,flop,bandwith
200,0.000000,inf,inf
500,0.000100,4.995000,40.040000
900,0.000400,4.047750,32.418000
1300,0.001000,3.378700,27.050400
1700,0.001600,3.611437,28.908500
2100,0.002600,3.391500,27.144923
2500,0.005000,2.499500,20.004000
2900,0.004800,3.503562,28.038167
3300,0.006300,3.456619,27.661333
3700,0.007900,3.465354,27.730329
4100,0.010300,3.263680,26.115806
4500,0.010300,3.931602,31.459806
4900,0.012300,3.903667,31.235707
5300,0.014500,3.874117,30.998786
5700,0.017000,3.822018,30.581506
6100,0.020300,3.665709,29.330483
6500,0.021800,3.875849,31.011560
6900,0.024700,3.854781,30.842721
7300,0.030400,3.505681,28.049289
7700,0.032400,3.659639,29.280914
8100,0.036800,3.565541,28.527848
8500,0.038800,3.724008,29.795567
8900,0.044600,3.551818,28.417740
9300,0.047800,3.618634,28.952184
9700,0.052400,3.591036,28.731252
10100,0.054900,3.716027,29.731162
10500,0.073200,3.012152,24.099508
10900,0.066600,3.567704,28.544252
11300,0.073100,3.493416,27.949800
11700,0.075400,3.630879,29.049517
12100,0.082800,3.536327,28.292957
12500,0.090100,3.468230,27.748058
12900,0.093500,3.559434,28.477681
13300,0.102000,3.468301,27.748494
13700,0.107400,3.495031,27.962287
14100,0.115700,3.436525,27.494147
14500,0.122500,3.432535,27.462171
14900,0.130800,3.394534,27.158098
15300,0.136400,3.432293,27.460135
15700,0.151600,3.251743,26.015604
16100,0.156100,3.320973,26.569435
16500,0.165300,3.293911,26.352886
16900,0.171900,3.322880,26.584614
17300,0.178400,3.355172,26.842928
17700,0.204500,3.063874,24.512379
18100,0.195000,3.360010,26.881563
18300,0.197900,3.384344,27.076232
18500,0.207900,3.292359,26.340298
19300,0.217800,3.420389,27.364529
19700,0.231400,3.354193,26.834908
20500,0.246200,3.413808,27.311795
20900,0.255600,3.417837,27.344003
21300,0.272200,3.333427,26.668664
22100,0.297200,3.286669,26.294538
22500,0.311500,3.250329,26.003788
23000,0.314800,3.360791,26.887497
