size,time,flop,bandwith
200,0.000000,inf,inf
500,0.000000,inf,inf
900,0.000400,4.047750,32.418000
1300,0.000800,4.223375,33.813000
1700,0.001800,3.210167,25.696444
2100,0.002500,3.527160,28.230720
2500,0.003500,3.570714,28.577143
2900,0.004900,3.432061,27.465959
3300,0.009300,2.341581,18.738323
3700,0.007800,3.509782,28.085846
4100,0.009500,3.538516,28.315032
4500,0.012000,3.374625,27.003000
4900,0.013300,3.610158,28.887158
5300,0.018300,3.069656,24.561880
5700,0.025000,2.598972,20.795424
6100,0.021700,3.429212,27.438194
6500,0.023600,3.580233,28.646271
6900,0.027100,3.513399,28.111262
7300,0.030900,3.448955,27.595417
7700,0.036900,3.213341,25.710070
8100,0.042700,3.072878,24.586061
8500,0.046300,3.120767,24.969071
8900,0.051100,3.100022,24.802959
9300,0.056400,3.066856,24.537489
9700,0.054500,3.452666,27.624176
10100,0.058500,3.487349,27.901552
10500,0.067900,3.247268,25.980619
10900,0.069500,3.418836,27.353197
11300,0.079800,3.200109,25.603138
11700,0.080300,3.409319,27.276882
12100,0.087900,3.331148,26.651386
12500,0.106600,2.931402,23.453096
12900,0.103200,3.224875,25.801000
13300,0.117300,3.015914,24.129125
13700,0.114700,3.272592,26.182647
14100,0.121300,3.277872,26.224838
14500,0.149200,2.818267,22.547694
14900,0.139900,3.173732,25.391560
15300,0.151100,3.098377,24.788633
15700,0.165300,2.982240,23.859441
16100,0.165200,3.138038,25.105864
16500,0.176900,3.077917,24.624828
16900,0.182900,3.123035,24.985758
17300,0.194900,3.071127,24.570438
17700,0.201600,3.107948,24.864988
18100,0.209400,3.128949,25.032974
18300,0.210500,3.181766,25.455517
18500,0.214300,3.194034,25.553654
19300,0.260300,2.861931,22.896636
19700,0.250400,3.099682,24.798712
20500,0.267600,3.140805,25.127668
20900,0.275100,3.175569,25.405770
21300,0.283700,3.198303,25.587629
22100,0.329500,2.964485,23.716955
22500,0.298200,3.395297,27.163581
23000,0.389500,2.716244,21.730896
