size,time,flop,bandwith
200,2.745e-05,2.9071,23.2568
500,0.00013315,3.75141,30.0113
900,0.00042355,3.82269,30.5815
1300,0.0010059,3.35888,26.8711
1700,0.00168659,3.42603,27.4082
2100,0.00265704,3.31869,26.5495
2500,0.0040788,3.06401,24.5121
2900,0.00558194,3.01277,24.1022
3300,0.00698834,3.11615,24.9292
3700,0.00892343,3.06791,24.5433
4100,0.010845,3.09966,24.7973
4500,0.0132701,3.05163,24.413
4900,0.0153982,3.11823,24.9459
5300,0.0194479,2.88847,23.1078
5700,0.0207563,3.13034,25.0427
6100,0.0243836,3.0518,24.4144
6500,0.028883,2.92537,23.403
6900,0.0311452,3.05707,24.4566
7300,0.0359598,2.96367,23.7093
7700,0.0435621,2.72192,21.7753
8100,0.0474249,2.76673,22.1338
8500,0.0467691,3.08946,24.7157
8900,0.0516767,3.06543,24.5234
9300,0.0559551,3.09124,24.7299
9700,0.062478,3.01179,24.0943
10100,0.0682386,2.98966,23.9172
10500,0.0733829,3.00464,24.0371
10900,0.0782515,3.03648,24.2918
11300,0.0944137,2.70478,21.6383
11700,0.0894067,3.06205,24.4964
12100,0.0966634,3.02915,24.2332
12500,0.102722,3.04207,24.3365
12900,0.111685,2.97988,23.839
13300,0.119451,2.96161,23.6929
13700,0.123403,3.0418,24.3344
14100,0.132856,2.99277,23.9421
14500,0.141829,2.96473,23.7179
14900,0.152867,2.90452,23.2361
15300,0.159412,2.93682,23.4945
15700,0.169708,2.90478,23.2382
16100,0.179618,2.88615,23.0892
16500,0.194634,2.79747,22.3798
16900,0.198649,2.87544,23.0035
17300,0.208237,2.87444,22.9955
17700,0.219155,2.85899,22.8719
18100,0.230943,2.83707,22.6966
18300,0.234659,2.85419,22.8336
18500,0.242962,2.81724,22.5379
19300,0.262443,2.83856,22.7085
19700,0.272728,2.84592,22.7673
20500,0.299502,2.80625,22.45
20900,0.310104,2.81712,22.537
21300,0.321858,2.81913,22.553
22100,0.353023,2.76695,22.1356
22500,0.364764,2.7757,22.2056
23000,0.386027,2.74068,21.9254
