size,time,flop,bandwith
200,0.000000,inf,inf
500,0.000100,4.995000,40.040000
900,0.000400,4.047750,32.418000
1300,0.000900,3.754111,30.056000
1700,0.001600,3.611438,28.908500
2100,0.002400,3.674125,29.407000
2500,0.006300,1.983730,15.876190
2900,0.004800,3.503563,28.038167
3300,0.006100,3.569951,28.568262
3700,0.021700,1.261581,10.095373
4100,0.010400,3.232298,25.864692
4500,0.011600,3.490991,27.934138
4900,0.013300,3.610158,28.887158
5300,0.016300,3.446301,27.575607
5700,0.023600,2.753148,22.029051
6100,0.021600,3.445088,27.565222
6500,0.026200,3.224943,25.803511
6900,0.028000,3.400468,27.207686
7300,0.031600,3.372554,26.984127
7700,0.035300,3.358989,26.875399
8100,0.039800,3.296781,26.377508
8500,0.046000,3.141120,25.131913
8900,0.048700,3.252795,26.025281
9300,0.054000,3.203161,25.628044
9700,0.056100,3.354194,26.836321
10100,0.060200,3.388869,27.113635
10500,0.067200,3.281094,26.251250
10900,0.072000,3.300126,26.403433
11300,0.080000,3.192109,25.539130
11700,0.082600,3.314386,26.517356
12100,0.087000,3.365608,26.927090
12500,0.106000,2.947995,23.585849
12900,0.101400,3.282121,26.259006
13300,0.111700,3.167115,25.338822
13700,0.118900,3.156992,25.257776
14100,0.125600,3.165652,25.327013
14500,0.130900,3.212265,25.699893
14900,0.139900,3.173732,25.391560
15300,0.148700,3.148384,25.188718
15700,0.157600,3.127946,25.025162
16100,0.179300,2.891265,23.131561
16500,0.176700,3.081401,24.652699
16900,0.189400,3.015856,24.128275
17300,0.207800,2.880475,23.045132
17700,0.203900,3.072890,24.584510
18100,0.211500,3.097881,24.784420
18300,0.217100,3.085038,24.681651
18500,0.232500,2.944006,23.553325
19300,0.241300,3.087280,24.699521
19700,0.250100,3.103400,24.828459
20500,0.268700,3.127948,25.024801
20900,0.284800,3.067413,24.540475
21300,0.289000,3.139649,25.118375
22100,0.322700,3.026954,24.216724
22500,0.325600,3.109575,24.877703
23000,0.343900,3.076409,24.612341
