            size,            time,            flop,        bandwith
             200,        0.000013,        6.214951,       49.968829
             500,        0.000147,        3.407928,       27.318003
             900,        0.000374,        4.329955,       34.678149
            1300,        0.000832,        4.061523,       32.517190
            1700,        0.001540,        3.751899,       30.032855
            2100,        0.002394,        3.683549,       29.482426
            2500,        0.003342,        3.739136,       29.925053
            2900,        0.004451,        3.777935,       30.233904
            3300,        0.005683,        3.831632,       30.662350
            3700,        0.008115,        3.373584,       26.995970
            4100,        0.010240,        3.282675,       26.267802
            4500,        0.011515,        3.516807,       28.140705
            4900,        0.013956,        3.440559,       27.530090
            5300,        0.016208,        3.465854,       27.732064
            5700,        0.020169,        3.221564,       25.777031
            6100,        0.019716,        3.774326,       30.199561
            6500,        0.022525,        3.751075,       30.013221
            6900,        0.029614,        3.215126,       25.724737
            7300,        0.028625,        3.723118,       29.789027
            7700,        0.033251,        3.565944,       28.531255
            8100,        0.035288,        3.718341,       29.750403
            8500,        0.042411,        3.406955,       27.258844
            8900,        0.042800,        3.701185,       29.612809
            9300,        0.049263,        3.511204,       28.092649
            9700,        0.053996,        3.484915,       27.882196
           10100,        0.057090,        3.573499,       28.590826
           10500,        0.062480,        3.528982,       28.234542
           10900,        0.067748,        3.507253,       28.060599
           11300,        0.070252,        3.635053,       29.082999
           11700,        0.076569,        3.575468,       28.606186
           12100,        0.082864,        3.533607,       28.271190
           12500,        0.089256,        3.501017,       28.010379
           12900,        0.094762,        3.512025,       28.098374
           13300,        0.106915,        3.308866,       26.472920
           13700,        0.108965,        3.444831,       27.560663
           14100,        0.115617,        3.438979,       27.513780
           14500,        0.122644,        3.428496,       27.429860
           14900,        0.128800,        3.447249,       27.579842
           15300,        0.137064,        3.415655,       27.327028
           15700,        0.146318,        3.369130,       26.954761
           16100,        0.161913,        3.201749,       25.615584
           16500,        0.163561,        3.328937,       26.633108
           16900,        0.173473,        3.292742,       26.343492
           17300,        0.179021,        3.343532,       26.749800
           17700,        0.189755,        3.301957,       26.417148
           18100,        0.196490,        3.334534,       26.677742
           18300,        0.205940,        3.252218,       26.019165
           18500,        0.206768,        3.310387,       26.484529
           19300,        0.223232,        3.337159,       26.698653
           19700,        0.231393,        3.354295,       26.835724
           20500,        0.251282,        3.344772,       26.759483
           20900,        0.260676,        3.351290,       26.811599
           21300,        0.278046,        3.263341,       26.107951
           22100,        0.298238,        3.275229,       26.203017
           22500,        0.298965,        3.386606,       27.094053
           23000,        0.321125,        3.294595,       26.357904
