size,time,flop,bandwith
200,1.523e-05,69466.6,555733
500,9.29e-05,11388.3,91106.7
900,0.00044571,2373.69,18989.5
1300,0.0009809,1078.58,8628.62
1700,0.00177941,594.566,4756.53
2100,0.00277397,381.395,3051.16
2500,0.00444459,238.037,1904.3
2900,0.00562617,188.046,1504.37
3300,0.00733537,144.23,1153.84
3700,0.00903181,117.139,937.112
4100,0.0107247,98.649,789.192
4500,0.0132402,79.9067,639.254
4900,0.0153508,68.9199,551.359
5300,0.0183695,57.5942,460.753
5700,0.0207679,50.9428,407.543
6100,0.0236801,44.6779,357.423
6500,0.0274239,38.5787,308.63
6900,0.030693,34.4697,275.757
7300,0.0346156,30.5636,244.509
7700,0.0381226,27.752,222.016
8100,0.0419762,25.2042,201.634
8500,0.0468895,22.5632,180.506
8900,0.0540754,19.5648,156.519
9300,0.0559191,18.9198,151.358
9700,0.0625232,16.9213,135.371
10100,0.0660312,16.0224,128.179
10500,0.0733253,14.4285,115.428
10900,0.0812703,13.018,104.144
11300,0.0842667,12.5551,100.441
11700,0.0902808,11.7187,93.7499
12100,0.099525,10.6303,85.0421
12500,0.112672,9.3899,75.1192
12900,0.112452,9.40825,75.266
13300,0.124533,8.49555,67.9644
13700,0.124051,8.52859,68.2287
14100,0.132307,7.99639,63.9712
14500,0.148418,7.12835,57.0268
14900,0.149106,7.09546,56.7637
15300,0.158251,6.68545,53.4836
15700,0.162882,6.49534,51.9627
16100,0.175575,6.02578,48.2062
16500,0.179131,5.90617,47.2494
16900,0.18944,5.58475,44.678
17300,0.200105,5.28712,42.2969
17700,0.213051,4.96584,39.7267
18100,0.221131,4.78438,38.2751
18300,0.227564,4.64915,37.1932
18500,0.233706,4.52695,36.2156
19300,0.25525,4.14487,33.159
19700,0.270299,3.9141,31.3128
20500,0.291306,3.63184,29.0547
20900,0.307901,3.43609,27.4887
21300,0.319465,3.31171,26.4937
22100,0.345808,3.05944,24.4755
22500,0.35934,2.94422,23.5538
23000,0.376097,2.81304,22.5043
