            size,            time,            flop,        bandwith
             200,        0.000013,        6.308293,       50.719308
             500,        0.000118,        4.226961,       33.883387
             900,        0.000440,        3.675763,       29.438794
            1300,        0.000901,        3.751235,       30.032975
            1700,        0.001562,        3.699035,       29.609695
            2100,        0.002267,        3.890416,       31.138152
            2500,        0.003201,        3.904773,       31.250683
            2900,        0.004311,        3.901273,       31.220947
            3300,        0.005700,        3.820521,       30.573428
            3700,        0.007396,        3.701366,       29.618930
            4100,        0.009154,        3.672231,       29.385017
            4500,        0.010500,        3.856696,       30.860424
            4900,        0.012853,        3.735703,       29.891722
            5300,        0.014548,        3.861449,       30.897421
            5700,        0.017162,        3.785962,       30.293009
            6100,        0.020002,        3.720403,       29.768103
            6500,        0.026357,        3.205674,       25.649341
            6900,        0.027874,        3.415795,       27.330321
            7300,        0.030155,        3.534183,       28.277341
            7700,        0.033764,        3.511774,       28.097838
            8100,        0.035661,        3.679441,       29.439166
            8500,        0.041599,        3.473406,       27.790517
            8900,        0.047782,        3.315290,       26.525302
            9300,        0.053328,        3.243533,       25.951053
            9700,        0.053959,        3.487300,       27.901274
           10100,        0.059003,        3.457607,       27.663593
           10500,        0.064812,        3.401963,       27.218297
           10900,        0.066033,        3.598349,       28.789434
           11300,        0.070010,        3.647612,       29.183475
           11700,        0.076444,        3.581307,       28.652903
           12100,        0.080348,        3.644264,       29.156525
           12500,        0.085404,        3.658927,       29.273757
           12900,        0.091067,        3.654525,       29.238466
           13300,        0.098702,        3.584182,       28.675610
           13700,        0.102897,        3.647996,       29.186097
           14100,        0.113596,        3.500181,       28.003434
           14500,        0.114733,        3.664916,       29.321353
           14900,        0.124399,        3.569216,       28.555643
           15300,        0.131222,        3.567723,       28.543647
           15700,        0.140852,        3.499862,       28.000681
           16100,        0.156077,        3.321455,       26.573289
           16500,        0.155739,        3.496127,       27.970709
           16900,        0.172280,        3.315549,       26.525961
           17300,        0.174938,        3.421563,       27.374087
           17700,        0.183973,        3.405726,       27.247351
           18100,        0.197009,        3.325739,       26.607386
           18300,        0.198688,        3.370919,       26.968827
           18500,        0.215791,        3.171969,       25.377126
           19300,        0.255873,        2.911443,       23.292754
           19700,        0.243468,        3.187941,       25.504819
           20500,        0.252981,        3.322300,       26.579696
           20900,        0.260904,        3.348360,       26.788165
           21300,        0.269372,        3.368428,       26.948687
           22100,        0.297731,        3.280803,       26.247609
           22500,        0.337479,        3.000119,       24.002017
           23000,        0.318188,        3.325006,       26.601201
